code C:\Users\HP\Downloads\memberC_epsilon_results.csvrun_name,member,timestamp,learning_rate,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,total_timesteps,mean_reward,std_reward,model_path,notes
memberA_lr_01,MemberA,2026-07-13T11:32:58,0.01,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_01.zip,
memberA_lr_02,MemberA,2026-07-13T11:49:53,0.005,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_02.zip,
memberA_lr_03,MemberA,2026-07-13T12:06:36,0.001,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_03.zip,
memberA_lr_04,MemberA,2026-07-13T12:23:20,0.0007,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_04.zip,
memberA_lr_05,MemberA,2026-07-13T12:40:13,0.0005,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_05.zip,
memberA_lr_06,MemberA,2026-07-13T12:57:07,0.0003,0.99,32,1.0,0.05,0.1,200000,-21.0,0.0,results/models/memberA_lr_06.zip,
memberA_lr_07,MemberA,2026-07-13T13:14:28,0.0001,0.99,32,1.0,0.05,0.1,200000,-17.8,2.135,results/models/memberA_lr_07.zip,
memberA_lr_08,MemberA,2026-07-13T13:31:22,7e-05,0.99,32,1.0,0.05,0.1,200000,-18.0,1.789,results/models/memberA_lr_08.zip,
memberA_lr_09,MemberA,2026-07-13T13:48:14,5e-05,0.99,32,1.0,0.05,0.1,200000,-17.2,3.25,results/models/memberA_lr_09.zip,
memberA_lr_10,MemberA,2026-07-13T14:04:49,1e-05,0.99,32,1.0,0.05,0.1,200000,-20.6,0.49,results/models/memberA_lr_10.zip,
policy_comparison_cnn,comparison,2026-07-13T18:50:47,0.0001,0.99,32,1.0,0.05,0.1,200000,-17.4,2.059,results/models/policy_comparison_cnn.zip,MlpPolicy vs CnnPolicy comparison -- CNN side
memberC_eps_01,MemberC,2026-07-13T14:47:24,0.0001,0.99,32,1.0,0.20,0.05,200000,-17.2,1.166,results/models/memberC_eps_01.zip,
memberC_eps_02,MemberC,2026-07-13T15:05:46,0.0001,0.99,32,1.0,0.10,0.05,200000,-16.2,1.600,results/models/memberC_eps_02.zip,
memberC_eps_03,MemberC,2026-07-13T15:24:19,0.0001,0.99,32,1.0,0.05,0.05,200000,-18.0,1.673,results/models/memberC_eps_03.zip,
memberC_eps_04,MemberC,2026-07-13T15:43:31,0.0001,0.99,32,1.0,0.05,0.10,200000,-17.8,2.135,results/models/memberC_eps_04.zip,
memberC_eps_05,MemberC,2026-07-13T16:03:24,0.0001,0.99,32,1.0,0.05,0.20,200000,-16.2,2.315,results/models/memberC_eps_05.zip,
memberC_eps_06,MemberC,2026-07-13T16:23:50,0.0001,0.99,32,1.0,0.05,0.30,200000,-17.2,2.227,results/models/memberC_eps_06.zip,
memberC_eps_07,MemberC,2026-07-13T16:43:50,0.0001,0.99,32,1.0,0.01,0.10,200000,-17.0,1.265,results/models/memberC_eps_07.zip,
memberC_eps_08,MemberC,2026-07-13T17:03:35,0.0001,0.99,32,0.8,0.05,0.10,200000,-17.4,1.020,results/models/memberC_eps_08.zip,
memberC_eps_09,MemberC,2026-07-13T17:23:55,0.0001,0.99,32,1.0,0.30,0.10,200000,-17.0,1.414,results/models/memberC_eps_09.zip,
memberC_eps_10,MemberC,2026-07-13T17:44:07,0.0001,0.99,32,1.0,0.05,0.50,200000,-18.6,1.020,results/models/memberC_eps_10.zip,
